province,year,variety,points
Washington,2007,White Blend,83
California,2007,Shiraz,83
California,2005,Cabernet Sauvignon,83
California,2007,Chardonnay,83
California,2007,Chardonnay,83
California,2007,Rosé,83
California,2006,Syrah,83
California,2006,Merlot,83
Burgundy,2006,Chardonnay,91
Burgundy,2006,Chardonnay,91
Washington,2006,Syrah,91
Sicilia,2004,Red Blend,91
Burgundy,2006,Chardonnay,91
Burgundy,2006,Chardonnay,91
California,2005,Bordeaux-style Red Blend,91
Washington,2003,Cabernet Sauvignon,91
California,2006,Merlot,91
Sicilia,2005,Red Blend,91
Tuscany,2003,Sangiovese Grosso,91
Tuscany,2005,Red Blend,91
Washington,2005,Red Blend,91
Sicilia,2005,Syrah,91
Washington,2006,Red Blend,91
Burgundy,2006,Chardonnay,91
California,2013,Chardonnay,90
Oregon,2013,Zinfandel,90
Veneto,2014,Glera,90
California,2012,Rhône-style Red Blend,90
California,2013,Red Blend,90
California,2012,Cabernet Sauvignon,90
California,2013,Pinot Blanc,90
California,2012,Sangiovese,90
California,2014,Pinot Noir,90
California,2013,Chardonnay,90
Veneto,2014,Glera,90
California,2010,Cabernet Sauvignon,90
California,2013,Roussanne,90
Oregon,2013,Pinot Noir,90
California,2014,Rosé,90
California,2012,Cabernet Sauvignon,90
California,2012,Cabernet Sauvignon,90
California,2010,Red Blend,87
California,2010,Zinfandel,87
Sicilia,2009,Syrah,87
Aquitaine,2010,Bordeaux-style Red Blend,87
Oregon,2010,Pinot Noir,87
Sicilia,2011,Zibibbo,87
Sicilia,2010,Nero d'Avola,87
Oregon,2010,Pinot Noir,87
Sicilia,2010,Red Blend,87
Sicilia,2010,Nero d'Avola,87
Sicilia,2007,Red Blend,87
Sicilia,2011,Cabernet Sauvignon,87
Sicilia,2011,Chardonnay,87
California,2010,Pinot Noir,87
California,2011,Gewürztraminer,87
Aquitaine,2011,Bordeaux-style Red Blend,87
California,2010,Cabernet Sauvignon,87
Oregon,2010,Viognier,87
California,2010,Cabernet Franc,87
California,2010,Syrah,87
Sicilia,2011,White Blend,87
Oregon,2012,Pinot Noir,94
Piedmont,2009,Nebbiolo,94
California,2013,Chardonnay,94
Piedmont,2011,Nebbiolo,94
Oregon,2013,Chardonnay,94
Piedmont,2010,Red Blend,93
Piedmont,2011,Nebbiolo,93
Piedmont,2011,Nebbiolo,93
California,2013,Pinot Noir,93
Piedmont,2011,Nebbiolo,93
Oregon,2013,Pinot Noir,93
Piedmont,2011,Nebbiolo,93
Champagne-Ardenne,2009,Chardonnay,93
Piedmont,2011,Nebbiolo,93
California,2013,Pinot Noir,93
California,2013,Pinot Noir,93
Piedmont,2011,Nebbiolo,93
Piedmont,2011,Nebbiolo,93
Piedmont,2011,Nebbiolo,93
California,2013,Pinot Noir,93
Piedmont,2012,Nebbiolo,93
Piedmont,2011,Nebbiolo,93
Aquitaine,2010,Bordeaux-style Red Blend,90
Sicilia,2009,Red Blend,90
Sicilia,2008,Syrah,90
California,2011,Sauvignon Blanc,90
California,2011,Sauvignon Blanc,90
Oregon,2009,Bordeaux-style Red Blend,90
Oregon,2010,Pinot Noir,90
California,2010,Chardonnay,90
California,2010,Pinot Noir,90
Sicilia,2010,Nerello Mascalese,90
Sicilia,2011,Carricante,90
Aquitaine,2010,Bordeaux-style Red Blend,90
Aquitaine,2010,Bordeaux-style Red Blend,90
Oregon,2010,Chardonnay,90
Oregon,2009,Riesling,89
Oregon,2009,Pinot Noir,89
Oregon,2009,Pinot Noir,89
California,2010,Chardonnay,89
Oregon,2009,Pinot Noir,89
Aquitaine,2010,Bordeaux-style Red Blend,86
Aquitaine,2010,Bordeaux-style Red Blend,86
California,2010,Grenache,86
California,2008,Syrah,86
California,2011,Pinot Noir,86
California,2011,Pinot Noir,86
California,2012,Rosé,86
California,2009,Cabernet Sauvignon,86
California,2010,Rhône-style Red Blend,86
California,2011,Red Blend,86
Oregon,2010,Pinot Noir,86
Washington,2011,Chardonnay,86
Oregon,2011,Pinot Noir,86
Oregon,2011,Pinot Noir,86
California,2009,Cabernet Franc,86
California,2011,Zinfandel,86
California,2011,Pinot Noir,86
Aquitaine,2005,Bordeaux-style Red Blend,86
Aquitaine,2010,Bordeaux-style Red Blend,86
California,2005,Bordeaux-style Red Blend,97
Burgundy,2006,Chardonnay,97
Burgundy,2006,Chardonnay,97
California,2005,Bordeaux-style Red Blend,95
Burgundy,2006,Chardonnay,95
California,2005,Bordeaux-style Red Blend,95
California,2005,Red Blend,95
California,2007,Pinot Noir,95
Burgundy,2006,Chardonnay,95
California,2005,Bordeaux-style Red Blend,95
Burgundy,2006,Chardonnay,95
California,2005,Cabernet Sauvignon,95
Burgundy,2006,Chardonnay,94
California,2005,Merlot,94
Burgundy,2006,Chardonnay,94
California,2006,Syrah,94
California,2005,Bordeaux-style Red Blend,94
California,2006,Pinot Noir,94
Burgundy,2006,Chardonnay,94
Washington,2006,Merlot,94
California,2001,Chardonnay,85
California,2000,Chardonnay,85
Oregon,2000,Bordeaux-style Red Blend,85
California,2000,Merlot,85
New York,2002,Riesling,85
New York,2002,Riesling,85
California,2001,Cabernet Sauvignon-Syrah,85
Oregon,2001,Pinot Grigio,85
California,1999,Merlot,85
California,1999,Merlot,85
California,2000,Pinot Noir,85
California,2000,Merlot,85
California,1999,Cabernet Sauvignon,85
New York,2001,Johannisberg Riesling,85
California,2000,Merlot,85
California,2000,Merlot,85
Oregon,2001,Pinot Gris,85
California,1998,Merlot,85
California,2011,Sauvignon Blanc,83
Sicilia,2010,Chardonnay,83
Oregon,2011,Pinot Gris,83
California,2010,Pinot Noir,83
California,2011,Chardonnay,83
California,2011,Pinot Noir,83
Sicilia,2011,Inzolia,83
Oregon,2010,Pinot Noir,83
California,2011,Chardonnay,82
California,2010,Merlot,82
California,2011,Pinot Grigio,82
California,2010,Cabernet Sauvignon,82
California,2010,Red Blend,82
California,2011,Cabernet Sauvignon,82
California,2009,Cabernet Sauvignon,82
California,2011,Moscato,82
California,2010,Merlot,82
California,2011,Petite Sirah,90
California,2012,Bordeaux-style Red Blend,90
California,2012,Cabernet Sauvignon,90
California,2013,Zinfandel,90
California,2013,Petite Sirah,90
California,2014,Chardonnay,90
California,2015,Pinot Noir,90
California,2014,Chardonnay,90
New York,2012,Cabernet Sauvignon,90
Washington,2012,Bordeaux-style Red Blend,90
California,2013,Petite Sirah,90
California,2013,Zinfandel,90
California,2013,Red Blend,90
Piedmont,2007,Cortese,86
Piedmont,2008,Barbera,86
California,2007,Cabernet Sauvignon,86
California,2008,Viognier,86
Piedmont,2009,Cortese,86
California,2009,Sauvignon Blanc,86
California,2008,Chardonnay,86
Piedmont,2009,Barbera,86
Piedmont,2009,Barbera,86
California,2006,Sparkling Blend,86
Tuscany,2012,Sangiovese,86
Tuscany,2013,Red Blend,86
California,2013,Tempranillo,86
Tuscany,2014,Red Blend,86
California,2013,Cabernet Franc,86
California,2013,Chardonnay,86
Tuscany,2014,Sangiovese,86
Tuscany,2014,Red Blend,86
Tuscany,2011,Red Blend,86
California,2013,Malbec,86
California,2012,Red Blend,86
California,2014,Rhône-style Red Blend,86
Oregon,2011,Red Blend,86
California,2013,Cabernet Sauvignon,86
Tuscany,2013,Red Blend,86
California,2012,Cabernet Sauvignon,86
California,2013,Pinot Noir,86
Tuscany,2011,Red Blend,86
Tuscany,2013,Red Blend,86
Tuscany,2013,Red Blend,86
California,2009,Merlot,85
California,2010,Pinot Noir,85
Sicilia,2009,Grillo,85
California,2010,Merlot,85
New York,2010,Chardonnay,85
California,2009,Chardonnay,85
California,2009,Red Blend,85
California,2009,Grenache,85
New York,2010,Chardonnay,85
Washington,2009,Sangiovese,85
California,2009,Petite Sirah,85
Veneto,2011,Pinot Grigio,85
California,2008,Fumé Blanc,92
California,2007,Grenache,92
Burgundy,2007,Pinot Noir,92
Burgundy,2007,Pinot Noir,92
California,2008,Chardonnay,92
California,2008,Chardonnay,92
Burgundy,2007,Chardonnay,92
California,2005,Cabernet Sauvignon,92
Burgundy,2007,Pinot Noir,92
Burgundy,2007,Chardonnay,92
California,2007,Cabernet Sauvignon,91
California,2007,Chardonnay,91
California,2007,Chardonnay,91
Burgundy,2007,Pinot Noir,91
Tuscany,2007,White Blend,91
Burgundy,2007,Chardonnay,91
Burgundy,2006,Pinot Noir,91
California,2007,Pinot Noir,91
California,2015,Viognier,92
Alsace,2015,Sylvaner,92
Alsace,2015,Sylvaner,92
California,2014,Pinot Noir,92
Tuscany,2012,Sangiovese,92
California,2014,Rosé,92
California,2013,Grenache,92
California,2013,Cabernet Sauvignon,92
Oregon,2015,Pinot Noir,92
California,2014,Pinot Noir,92
California,2013,Rhône-style Red Blend,92
Oregon,2014,Pinot Noir,92
Tuscany,2013,Red Blend,92
Alsace,2015,Gewürztraminer,92
Tuscany,2013,Red Blend,92
Oregon,2014,Pinot Noir,92
Tuscany,2012,Red Blend,92
California,2014,Pinot Noir,92
Tuscany,2012,Sangiovese,92
California,2014,Pinot Noir,92
Oregon,2013,Pinot Noir,92
California,2014,Pinot Noir,92
Tuscany,2012,Merlot,92
California,2014,Pinot Noir,92
Alsace,2014,Riesling,92
Alsace,2013,Pinot Noir,92
Burgundy,2014,Pinot Noir,92
Burgundy,2014,Pinot Noir,92
Burgundy,2014,Pinot Noir,92
Burgundy,2014,Pinot Noir,92
California,2012,Red Blend,92
California,2014,Pinot Noir,92
California,2015,Gewürztraminer,92
New York,2013,Red Blend,92
Washington,2014,Syrah,92
California,2014,Moscato,92
Washington,2013,Bordeaux-style Red Blend,92
Washington,2013,Bordeaux-style Red Blend,92
Washington,2013,Bordeaux-style Red Blend,92
California,2013,Cabernet Sauvignon,92
California,2013,Zinfandel,92
Washington,2012,Petite Sirah,91
Veneto,2010,Red Blend,91
Veneto,2011,Red Blend,91
California,2013,Malbec,91
California,2012,Tempranillo,91
California,2014,Chardonnay,91
Washington,2013,Sangiovese,91
California,2013,Cabernet Sauvignon,91
Washington,2012,Cabernet Sauvignon,91
California,2008,Pinot Noir,83
California,2007,Syrah,83
California,2007,Red Blend,83
California,2007,Zinfandel,83
California,2008,Chardonnay,83
California,2005,Sangiovese,83
California,2006,Chardonnay,83
California,2008,Sauvignon Blanc,83
California,2008,Merlot,83
California,2008,Pinot Noir,83
California,2008,Sauvignon Blanc,83
California,2006,Cabernet Franc,83
California,2007,Syrah,83
Washington,2007,Riesling,87
California,2005,Syrah,87
Washington,2006,Merlot,87
California,2005,Zinfandel,87
California,2006,Zinfandel,87
Washington,2006,Cabernet Franc,87
Washington,2006,Carmenère,87
California,2007,Sauvignon Blanc,87
Piedmont,2007,Cortese,87
Piedmont,2007,Arneis,87
Washington,2007,Chardonnay,87
California,2006,Syrah,87
Washington,2007,Chardonnay,87
Washington,2007,Sauvignon Blanc,87
California,2007,Gewürztraminer,87
Sicilia,2007,Insolia,87
Sicilia,2007,Grillo,87
California,2008,Zinfandel,85
California,2007,Cabernet Sauvignon,85
California,2008,Chardonnay,85
Washington,2008,Pinot Gris,85
Washington,2008,Sauvignon Blanc,85
Washington,2006,Red Blend,85
Washington,2006,Syrah,85
California,2008,Chardonnay,85
California,2006,Pinot Noir,85
California,2011,Barbera,87
California,2014,Chardonnay,87
Sicilia,2015,Catarratto,87
Aquitaine,2015,Rosé,87
Alsace,2014,Pinot Blanc,87
Alsace,2015,Pinot Blanc,87
Sicilia,2014,Carricante,87
Sicilia,2015,Grillo,87
Sicilia,2015,Inzolia,87
California,2013,Zinfandel,87
Sicilia,2015,Catarratto,87
Burgundy,2014,Chardonnay,87
California,2013,Merlot,87
Alsace,2012,Pinot Noir,87
California,2013,Merlot,87
Sicilia,2015,Inzolia,87
Alsace,2014,Pinot Auxerrois,87
Veneto,2004,"Corvina, Rondinella, Molinara",90
California,2005,Cabernet Sauvignon,90
Washington,2005,Cabernet Sauvignon,90
Washington,2005,Merlot,90
California,2006,Grenache,90
Washington,2005,Cabernet Sauvignon,90
California,2006,Pinot Noir,90
Washington,2006,Merlot,90
Champagne-Ardenne,2002,Champagne Blend,90
California,2006,Pinot Noir,90
Champagne-Ardenne,2002,Champagne Blend,90
Washington,2006,Chardonnay,90
Washington,2007,Riesling,90
Veneto,2005,"Corvina, Rondinella, Molinara",90
Champagne-Ardenne,1992,Champagne Blend,90
California,2006,Grenache,90
Champagne-Ardenne,2003,Champagne Blend,90
California,2006,Pinot Noir,90
California,2006,Chardonnay,90
Washington,2007,Sémillon,90
California,2012,Primitivo,85
California,2011,Red Blend,85
Oregon,2014,Rosé,85
Oregon,2012,Pinot Noir,85
California,2014,Chardonnay,85
Burgundy,2013,Chardonnay,85
California,2014,White Blend,85
California,2012,Cabernet Sauvignon,85
California,2014,Syrah,85
California,2013,Orange Muscat,85
California,2013,Chardonnay,85
California,2013,Petite Sirah,85
Burgundy,2014,Aligoté,85
Oregon,2013,Red Blend,85
California,2013,Pinot Noir,85
California,2014,Chardonnay,85
California,2011,Tempranillo,84
California,2012,Chardonnay,84
Washington,2010,Merlot,84
California,2012,Chardonnay,84
California,2012,White Blend,83
California,2012,Riesling,83
California,2011,Pinot Noir,83
California,2011,Pinot Noir,83
California,2012,Chardonnay,83
California,2012,Chardonnay,83
California,2012,Pinot Noir,83
California,2012,Zinfandel,83
California,2010,Cabernet Sauvignon,83
California,2010,Chardonnay,90
California,2008,Cabernet Sauvignon,90
Piedmont,2006,Nebbiolo,90
California,2011,Chardonnay,90
California,2011,Chardonnay,90
California,2010,Cabernet Sauvignon,90
Washington,2011,Red Blend,90
California,2011,Pinot Noir,90
California,2010,Cabernet Sauvignon,90
California,2009,Syrah,90
California,2011,Chardonnay,90
Piedmont,2009,Nebbiolo,90
Piedmont,2007,Nebbiolo,90
Piedmont,2009,Nebbiolo,90
Washington,2009,Bordeaux-style Red Blend,90
Piedmont,2009,Nebbiolo,90
Washington,2016,Chenin Blanc,86
Washington,2014,Petit Verdot,86
California,2015,Chardonnay,86
Aquitaine,2015,Bordeaux-style Red Blend,86
Aquitaine,2015,Bordeaux-style Red Blend,86
Aquitaine,2015,Bordeaux-style Red Blend,86
Aquitaine,2015,Bordeaux-style Red Blend,86
Aquitaine,2015,Bordeaux-style Red Blend,86
Washington,2016,Viognier,86
California,2014,Bordeaux-style Red Blend,86
Washington,2014,Red Blend,86
California,2016,Rosé,86
California,2016,Sauvignon Blanc,86
New York,2014,Chardonnay,86
California,2014,Pinot Noir,85
Washington,2015,Cabernet Sauvignon,85
Washington,2014,Red Blend,85
California,2012,Sangiovese,85
California,2016,Sauvignon Blanc,85
Aquitaine,2015,Bordeaux-style Red Blend,85
California,2007,Pinot Noir,90
Burgundy,2008,Pinot Noir,90
California,2007,Cabernet Sauvignon,90
California,2008,Chardonnay,90
Veneto,2006,"Corvina, Rondinella, Molinara",90
California,2007,Cabernet Sauvignon,90
California,2008,Zinfandel,90
Veneto,2006,"Corvina, Rondinella, Molinara",90
Sicilia,2009,Moscato,90
Sicilia,2006,Zibibbo,90
Burgundy,2007,Pinot Noir,90
Washington,2009,Pinot Gris,90
California,2007,Cabernet Sauvignon,89
Washington,2008,Syrah,89
California,2009,Chardonnay,89
California,2009,Sauvignon Blanc,89
Aquitaine,2008,Bordeaux-style Red Blend,89
Veneto,2008,Garganega,89
California,2000,Red Blend,94
California,2014,Pinot Noir,94
Burgundy,2014,Chardonnay,94
Burgundy,2014,Chardonnay,94
California,2014,Chardonnay,94
California,2013,Pinot Noir,94
Washington,2013,Grenache,94
Washington,2013,Grenache,94
California,2014,Pinot Noir,94
California,2014,Pinot Noir,94
New York,2015,Riesling-Chardonnay,94
Burgundy,2014,Chardonnay,94
California,2014,Chardonnay,94
Veneto,2012,Red Blend,94
Burgundy,2013,Pinot Noir,94
Burgundy,2014,Pinot Noir,94
Burgundy,2014,Pinot Noir,94
Burgundy,2014,Pinot Noir,94
Burgundy,2014,Pinot Noir,94
California,2015,Riesling,94
Washington,2012,Syrah,94
Burgundy,2014,Chardonnay,94
California,2014,Chardonnay,94
Burgundy,2014,Pinot Noir,94
California,2014,Pinot Noir,94
California,2007,Cabernet Sauvignon,95
California,2005,Sparkling Blend,95
California,2008,Chardonnay,95
California,2007,Chardonnay,95
California,2007,Chardonnay,95
California,2007,Cabernet Sauvignon,95
California,2008,Pinot Noir,95
Washington,2007,Red Blend,94
California,2006,Cabernet Sauvignon,94
California,2005,Sparkling Blend,94
California,2008,Pinot Noir,94
California,2006,Cabernet Sauvignon,94
California,2008,Chardonnay,94
California,2008,Sauvignon Gris,94
California,2006,Cabernet Sauvignon,94
California,2006,Cabernet Sauvignon,94
California,2007,Cabernet Sauvignon,94
California,2007,Petite Sirah,94
California,2006,Bordeaux-style Red Blend,94
California,2006,Cabernet Sauvignon,93
California,2008,Cabernet Sauvignon,85
California,2010,Pinot Noir,85
California,2010,Pinot Grigio,85
California,2011,Sauvignon Blanc,85
California,2011,Pinot Grigio,85
California,2010,Merlot,85
Aquitaine,2010,Bordeaux-style Red Blend,85
Piedmont,2010,Sparkling Blend,85
Piedmont,2010,Barbera,85
Aquitaine,2010,Bordeaux-style Red Blend,85
Aquitaine,2010,Sauvignon Blanc,85
Aquitaine,2009,Bordeaux-style Red Blend,85
California,2008,Cabernet Sauvignon,85
California,2010,Chardonnay,85
Aquitaine,2009,Merlot,85
Aquitaine,2010,Merlot,85
California,2008,Pinot Noir,85
Aquitaine,2010,Bordeaux-style White Blend,85
Aquitaine,2011,Bordeaux-style Red Blend,85
Aquitaine,2010,Bordeaux-style Red Blend,85
Aquitaine,2008,Bordeaux-style Red Blend,85
Piedmont,2011,Brachetto,85
California,2009,Grenache,85
California,2009,Chardonnay,85
California,2009,Zinfandel,85
Piedmont,2009,Nebbiolo,85
California,2013,Cabernet Sauvignon,88
Tuscany,2010,Sangiovese,88
Tuscany,2013,Sangiovese,88
Washington,2013,Syrah,88
California,2014,Pinot Noir,88
Tuscany,2011,Sangiovese,88
Washington,2011,Cabernet Sauvignon,88
Burgundy,2013,Chardonnay,88
Washington,2012,Bordeaux-style Red Blend,88
Washington,2012,Merlot,88
California,2009,Red Blend,88
California,2012,Zinfandel,88
New York,2014,Riesling,88
California,2013,Cabernet Sauvignon,88
Tuscany,2010,Sangiovese,88
Aquitaine,2015,Bordeaux-style Red Blend,84
Aquitaine,2015,Bordeaux-style Red Blend,84
California,2015,Pinot Noir,84
Aquitaine,2015,Bordeaux-style Red Blend,84
California,2014,Cabernet Sauvignon,84
California,2014,Red Blend,84
California,2014,Cabernet Sauvignon,84
Washington,2014,Merlot,84
Aquitaine,2015,Bordeaux-style Red Blend,83
California,2014,Merlot,83
Veneto,2016,Red Blend,83
California,2012,Nebbiolo,83
Washington,2015,Viognier-Roussanne,83
California,2013,Bordeaux-style Red Blend,83
California,2009,Cabernet Sauvignon,83
California,2008,Cabernet Sauvignon,91
California,2012,Roussanne-Viognier,91
California,2013,Rosé,91
California,2009,Petite Sirah,91
California,2012,Pinot Noir,91
California,2012,Sauvignon Blanc,91
California,2013,Albariño,91
California,2012,Pinot Noir,91
California,2010,Cabernet Sauvignon,91
Piedmont,2010,Nebbiolo,91
Aquitaine,2012,Bordeaux-style White Blend,91
California,2010,G-S-M,91
Oregon,2011,Pinot Noir,91
California,2012,Viognier,91
California,2010,Cabernet Sauvignon,85
California,2010,Chardonnay,85
California,2009,Cabernet Sauvignon,85
California,2009,Cabernet Sauvignon,85
California,2009,Merlot,85
California,2010,Zinfandel,85
California,2010,Cabernet Sauvignon,85
California,2011,Cabernet Sauvignon,85
California,2011,Chardonnay,85
California,2010,Pinot Noir,85
California,2011,Sauvignon Blanc,85
Tuscany,2011,Vermentino,85
Washington,2008,Viognier,86
Washington,2007,Cabernet Sauvignon,86
California,2006,Merlot,86
California,2008,Pinot Noir,86
Washington,2008,Pinot Gris,86
California,2007,Merlot,86
California,2007,Sangiovese,86
California,2009,Sauvignon Blanc,86
Tuscany,2008,Sangiovese Grosso,86
California,2008,Zinfandel,85
California,2007,Cabernet Sauvignon,85
Oregon,2009,Viognier,91
Oregon,2010,Pinot Gris,91
Oregon,2008,Pinot Noir,91
California,2007,Petite Sirah,91
Oregon,2009,Pinot Noir,90
California,2009,Pinot Blanc,90
California,2009,Pinot Noir,90
California,2009,Chardonnay,90
California,2009,Chardonnay,90
California,2011,Sauvignon Blanc,90
California,2011,Sauvignon Blanc,90
Alsace,2011,Pinot Gris,90
Alsace,2010,Gewürztraminer,90
Washington,2009,Cabernet Sauvignon,90
Washington,2010,Viognier,90
California,2008,Cabernet Franc,90
Washington,2010,Syrah,90
Alsace,2005,Gewürztraminer,90
California,2010,Chardonnay,90
Washington,2011,Chenin Blanc,90
California,2010,Chardonnay,90
Washington,2011,Rosé,90
California,2010,Cabernet Sauvignon,90
California,2011,Chardonnay,90
California,2011,Viognier,90
Piedmont,2014,Nebbiolo,88
Oregon,2011,Syrah,88
California,2015,Chardonnay,88
California,2014,Chardonnay,88
California,2015,Zinfandel,88
Oregon,2016,Pinot Blanc,88
California,2014,Pinot Noir,88
Oregon,2015,Pinot Noir,88
Piedmont,2013,Nebbiolo,88
Burgundy,2014,Chardonnay,93
California,2014,Pinot Noir,93
Champagne-Ardenne,2007,Champagne Blend,93
California,2014,Pinot Noir,93
California,2014,Pinot Noir,93
California,2015,Chardonnay,93
Washington,2014,Cabernet Sauvignon,93
Burgundy,2014,Chardonnay,93
California,2013,Syrah,93
Oregon,2014,Pinot Noir,93
California,2015,Sauvignon Blanc,93
Champagne-Ardenne,2005,Champagne Blend,93
Washington,2014,Syrah,93
Washington,2014,Cabernet Sauvignon,93
California,2014,Pinot Noir,93
California,2014,Pinot Noir,93
Washington,2014,Bordeaux-style Red Blend,93
Champagne-Ardenne,2010,Champagne Blend,93
Oregon,2015,Viognier,93
Piedmont,2012,Nebbiolo,89
Sicilia,2010,Red Blend,89
Aquitaine,2012,Bordeaux-style Red Blend,89
California,2015,Rosé,89
New York,2015,Cabernet Franc,89
Washington,2013,Syrah,89
New York,2013,Sparkling Blend,89
Sicilia,2011,Red Blend,89
California,2014,Zinfandel,89
California,2008,Cabernet Sauvignon,89
New York,2015,Sauvignon Blanc,89
Washington,2013,Cabernet Sauvignon,89
New York,2014,Chardonnay,89
California,2014,Pinot Noir,89
New York,2015,Merlot,89
California,2013,Pinot Noir,89
California,2014,Tocai Friulano,89
California,2012,Rosé,86
California,2012,Pinot Gris,86
California,2012,Viognier,86
Oregon,2012,Gewürztraminer,86
Aquitaine,2011,Bordeaux-style Red Blend,86
Aquitaine,2011,Bordeaux-style Red Blend,86
Aquitaine,2012,Bordeaux-style White Blend,86
Aquitaine,2011,Bordeaux-style Red Blend,86
Aquitaine,2011,Bordeaux-style Red Blend,86
Aquitaine,2011,Bordeaux-style Red Blend,86
California,2011,Petite Sirah,86
California,2010,Cabernet Sauvignon,86
Aquitaine,2011,Bordeaux-style Red Blend,86
California,2011,Pinot Noir,86
California,2012,Viognier,86
California,2009,Zinfandel,86
Oregon,2012,Pinot Noir,86
Tuscany,2010,Red Blend,86
Aquitaine,2012,Bordeaux-style White Blend,86
California,2014,Cabernet Sauvignon,92
Washington,2014,Cabernet Sauvignon,92
Washington,2014,Merlot,92
California,2014,Cabernet Sauvignon,92
California,2014,Pinot Noir,92
Piedmont,2016,Moscato,92
California,2015,Bordeaux-style White Blend,92
California,2015,Pinot Noir,92
Piedmont,2011,Nebbiolo,92
California,2015,Chardonnay,92
Piedmont,2013,Nebbiolo,92
Washington,2015,Grenache,92
Piedmont,2012,Nebbiolo,92
Piedmont,2013,Nebbiolo,92
Aquitaine,2015,Bordeaux-style Red Blend,92
Aquitaine,2014,Bordeaux-style Red Blend,92
California,2015,Pinot Noir,92
California,2013,Petite Sirah,92
California,2015,Chardonnay,92
Piedmont,2013,Nebbiolo,92
Washington,2014,Syrah,92
Washington,2014,Bordeaux-style Red Blend,92
Washington,2014,Cabernet Sauvignon,92
California,2007,Cabernet Sauvignon,90
California,2009,Cabernet Sauvignon,90
California,2008,Cabernet Sauvignon,90
Washington,2009,Cabernet Sauvignon,90
Burgundy,2010,Chardonnay,90
Burgundy,2010,Chardonnay,90
Burgundy,2010,Chardonnay,90
Washington,2011,Rhône-style Red Blend,90
Burgundy,2010,Pinot Noir,90
Burgundy,2010,Pinot Noir,90
California,2009,Pinot Noir,90
Burgundy,2010,Pinot Noir,90
Burgundy,2010,Pinot Noir,90
Burgundy,2010,Pinot Noir,90
California,2010,Pinot Noir,90
Washington,2010,Syrah,90
Tuscany,2009,Sangiovese,90
California,2010,Cabernet Sauvignon,90
California,2009,Zinfandel,90
New York,2010,Riesling,90
Washington,2008,Rhône-style Red Blend,90
Piedmont,2007,Barbera,87
Piedmont,2005,Barbera,87
Piedmont,2006,Barbera,87
Piedmont,2006,Barbera,87
Piedmont,2007,Barbera,87
California,2008,Pinot Noir,87
Piedmont,2008,Barbera,87
California,2008,Chardonnay,87
Piedmont,2009,Arneis,87
Piedmont,2007,Barbera,87
Piedmont,2008,Dolcetto,87
California,2007,Merlot,87
California,2008,Sauvignon Blanc,87
Piedmont,2006,Barbera,87
California,2013,Chardonnay,86
Tuscany,2011,Sangiovese,86
California,2011,Sangiovese,86
California,2012,Sangiovese-Cabernet Sauvignon,86
California,2013,Chardonnay,86
California,2014,Cabernet Sauvignon,86
California,2014,Vermentino,86
California,2014,Chardonnay,86
California,2012,Cabernet Sauvignon,86
Tuscany,2012,Red Blend,86
California,2012,Malbec,86
California,2014,Chardonnay,86
Washington,2012,Malbec,86
California,2014,Chardonnay,86
California,2014,Pinot Noir,89
Tuscany,2011,Sangiovese,89
Washington,2011,Bordeaux-style Red Blend,89
California,2013,Merlot,89
California,2013,Meritage,89
New York,2014,Riesling,89
California,2014,Chardonnay,89
California,2014,Chardonnay,89
California,2013,Chardonnay,89
Washington,2014,Riesling,89
Tuscany,2011,Red Blend,89
California,2013,Cabernet Sauvignon,89
Tuscany,2012,Red Blend,89
California,2013,Zinfandel,89
California,2012,Red Blend,89
California,2013,Viognier,89
Tuscany,2013,Red Blend,89
Tuscany,2014,Sangiovese,89
Tuscany,2009,Red Blend,89
Tuscany,2014,Cabernet Sauvignon,89
Sicilia,2006,Carricante,93
Oregon,2012,Pinot Noir,93
Alsace,2012,Pinot Gris,93
Sicilia,2012,Red Blend,93
Alsace,2011,Pinot Gris,93
California,2010,Pinot Noir,93
Oregon,2012,Pinot Noir,93
California,2012,Zinfandel,93
Alsace,2012,Gewürztraminer,93
California,2011,G-S-M,93
Oregon,2012,Pinot Noir,93
California,2013,Sauvignon Blanc,93
California,2012,Chardonnay,93
Alsace,2013,Pinot Gris,93
Oregon,2012,Pinot Noir,93
Sicilia,2010,Nero d'Avola,93
Alsace,2013,Pinot Gris,93
California,2012,Chardonnay,93
Sicilia,2012,Nerello Mascalese,93
Oregon,2012,Pinot Noir,93
California,2009,Cabernet Sauvignon,93
Sicilia,2012,Red Blend,93
Tuscany,2009,Red Blend,94
Tuscany,2010,Red Blend,94
Alsace,2010,Riesling,94
California,2010,Pinot Noir,94
California,2009,Malbec,94
California,2009,Cabernet Sauvignon,94
California,2011,White Blend,94
California,2010,Cabernet Sauvignon,94
California,2011,Pinot Noir,94
California,2008,Syrah,94
California,2011,Pinot Noir,93
California,2010,Chardonnay,93
Tuscany,2010,Sangiovese,93
California,2011,Pinot Noir,93
Tuscany,2007,Red Blend,93
New York,2012,Riesling,88
Washington,2012,Sangiovese,88
California,2013,Sauvignon Blanc,88
New York,2013,Pinot Gris,88
California,2011,Syrah,88
California,2012,Cinsault,88
California,2011,Red Blend,88
California,2011,Cabernet Sauvignon,88
California,2013,Sauvignon Blanc,88
California,2013,Cabernet Sauvignon,88
California,2012,Chardonnay,88
California,2012,Chardonnay,88
New York,2012,Cabernet Franc,88
Washington,2012,Bordeaux-style Red Blend,88
